campaign_id,date,detected_at,anomaly_type,severity,metric_value,baseline,description
916,2017-08-25,2026-06-09 01:02:22.295537,CTR_DROP,HIGH,0.0,0.0133,CTR dropped 100.0% below 3-day average (0.0000% vs baseline 0.0133%)
916,2017-08-26,2026-06-09 01:02:22.295537,ZERO_CONVERSIONS,HIGH,0.0,,Zero approved conversions despite $16.34 spend
916,2017-08-27,2026-06-09 01:02:22.295537,CPA_SPIKE,HIGH,5.4775,2.7388,CPA spiked 100.0% above 3-day average ($5.48 vs baseline $2.74)
916,2017-08-29,2026-06-09 01:02:22.295537,CTR_DROP,HIGH,0.0057,0.0254,CTR dropped 77.6% below 3-day average (0.0057% vs baseline 0.0254%)
916,2017-08-29,2026-06-09 01:02:22.295537,ZERO_CONVERSIONS,HIGH,0.0,,Zero approved conversions despite $1.51 spend
936,2017-08-26,2026-06-09 01:02:22.295537,CPA_SPIKE,HIGH,117.6525,45.6627,CPA spiked 157.7% above 3-day average ($117.65 vs baseline $45.66)
